data_folder,data_id,seed,pytorch_verified_energy,pyqubo_reported_energy,energy_difference,pyqubo_result_file,status
2_data_6000,data_3,4,-289360.9375,-289360.9183064699,-0.019193530082702637,../1_solve/solution/2_data_6000/data_3/pyqubo_4,MATCH
2_data_6000,data_3,5,-289371.9375,-289371.95270609856,0.015206098556518555,../1_solve/solution/2_data_6000/data_3/pyqubo_5,MATCH
2_data_6000,data_4,1,-279892.40625,-279892.4091171026,0.00286710262298584,../1_solve/solution/2_data_6000/data_4/pyqubo_1,MATCH
2_data_6000,data_4,2,-279969.03125,-279969.01893150806,-0.01231849193572998,../1_solve/solution/2_data_6000/data_4/pyqubo_2,MATCH
2_data_6000,data_4,3,-279936.59375,-279936.6010943651,0.007344365119934082,../1_solve/solution/2_data_6000/data_4/pyqubo_3,MATCH
2_data_6000,data_4,4,-280175.9375,-280175.94358313084,0.006083130836486816,../1_solve/solution/2_data_6000/data_4/pyqubo_4,MATCH
2_data_6000,data_4,5,-280084.4375,-280084.3954586983,-0.04204130172729492,../1_solve/solution/2_data_6000/data_4/pyqubo_5,MATCH
2_data_6000,data_5,1,-276197.125,-276197.1088216305,-0.016178369522094727,../1_solve/solution/2_data_6000/data_5/pyqubo_1,MATCH
2_data_6000,data_5,2,-276151.25,-276151.25486159325,0.004861593246459961,../1_solve/solution/2_data_6000/data_5/pyqubo_2,MATCH
2_data_6000,data_5,3,-276205.5,-276205.4794074297,-0.020592570304870605,../1_solve/solution/2_data_6000/data_5/pyqubo_3,MATCH
2_data_6000,data_5,4,-276107.75,-276107.74539506435,-0.004604935646057129,../1_solve/solution/2_data_6000/data_5/pyqubo_4,MATCH
2_data_6000,data_5,5,-276070.625,-276070.60389482975,-0.021105170249938965,../1_solve/solution/2_data_6000/data_5/pyqubo_5,MATCH
