data_folder,threshold,data_id,seed,pytorch_verified_energy,scipy_reported_energy,energy_difference,scipy_result_file,status
1_data_1000,1e-2,data_2,5,-18278.410131692886,-18278.410131692886,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_2/scipy_5,MATCH
1_data_1000,1e-2,data_3,1,-18788.67951607704,-18788.67951607704,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/scipy_1,MATCH
1_data_1000,1e-2,data_3,2,-18822.38015317917,-18822.38015317917,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/scipy_2,MATCH
1_data_1000,1e-2,data_3,3,-18862.063276410103,-18862.063276410103,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/scipy_3,MATCH
1_data_1000,1e-2,data_3,4,-18791.13338136673,-18791.13338136673,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/scipy_4,MATCH
1_data_1000,1e-2,data_3,5,-18750.801844120026,-18750.801844120026,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/scipy_5,MATCH
1_data_1000,1e-2,data_4,1,-20187.615450143814,-20187.615450143814,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/scipy_1,MATCH
1_data_1000,1e-2,data_4,2,-20126.710455298424,-20126.710455298424,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/scipy_2,MATCH
1_data_1000,1e-2,data_4,3,-20122.80227136612,-20122.80227136612,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/scipy_3,MATCH
1_data_1000,1e-2,data_4,4,-20149.580699920654,-20149.580699920654,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/scipy_4,MATCH
1_data_1000,1e-2,data_4,5,-20098.648673772812,-20098.648673772812,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/scipy_5,MATCH
1_data_1000,1e-2,data_5,1,-18119.677458524704,-18119.677458524704,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/scipy_1,MATCH
1_data_1000,1e-2,data_5,2,-18094.11276602745,-18094.11276602745,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/scipy_2,MATCH
1_data_1000,1e-2,data_5,3,-17947.310490369797,-17947.310490369797,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/scipy_3,MATCH
1_data_1000,1e-2,data_5,4,-18058.28833270073,-18058.28833270073,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/scipy_4,MATCH
1_data_1000,1e-2,data_5,5,-18195.79526937008,-18195.79526937008,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/scipy_5,MATCH
1_data_1000,1e-3,data_1,1,-19381.086560368538,-19381.086560368538,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/scipy_1,MATCH
1_data_1000,1e-3,data_1,2,-19441.567243933678,-19441.567243933678,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/scipy_2,MATCH
1_data_1000,1e-3,data_1,3,-19297.678192973137,-19297.678192973137,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/scipy_3,MATCH
1_data_1000,1e-3,data_1,4,-19644.233243465424,-19644.233243465424,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/scipy_4,MATCH
1_data_1000,1e-3,data_1,5,-19355.399300336838,-19355.399300336838,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/scipy_5,MATCH
1_data_1000,1e-3,data_2,1,-18674.54789674282,-18674.54789674282,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/scipy_1,MATCH
1_data_1000,1e-3,data_2,2,-18792.776990532875,-18792.776990532875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/scipy_2,MATCH
1_data_1000,1e-3,data_2,3,-18721.81372129917,-18721.81372129917,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/scipy_3,MATCH
1_data_1000,1e-3,data_2,4,-18777.375284194946,-18777.375284194946,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/scipy_4,MATCH
1_data_1000,1e-3,data_2,5,-18773.534327745438,-18773.534327745438,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/scipy_5,MATCH
1_data_1000,1e-3,data_3,1,-19272.84698855877,-19272.84698855877,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/scipy_1,MATCH
1_data_1000,1e-3,data_3,2,-19120.021245718002,-19120.021245718002,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/scipy_2,MATCH
1_data_1000,1e-3,data_3,3,-19245.80390071869,-19245.80390071869,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/scipy_3,MATCH
1_data_1000,1e-3,data_3,4,-19184.41143465042,-19184.41143465042,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/scipy_4,MATCH
1_data_1000,1e-3,data_3,5,-19366.73359453678,-19366.73359453678,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/scipy_5,MATCH
1_data_1000,1e-3,data_4,1,-20468.54609823227,-20468.54609823227,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/scipy_1,MATCH
1_data_1000,1e-3,data_4,2,-20536.346043229103,-20536.346043229103,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/scipy_2,MATCH
1_data_1000,1e-3,data_4,3,-20521.66864514351,-20521.66864514351,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/scipy_3,MATCH
1_data_1000,1e-3,data_4,4,-20487.03402376175,-20487.03402376175,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/scipy_4,MATCH
1_data_1000,1e-3,data_4,5,-20575.983937740326,-20575.983937740326,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/scipy_5,MATCH
1_data_1000,1e-3,data_5,1,-18547.74349796772,-18547.74349796772,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/scipy_1,MATCH
1_data_1000,1e-3,data_5,2,-18587.96674156189,-18587.96674156189,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/scipy_2,MATCH
1_data_1000,1e-3,data_5,3,-18417.866474747658,-18417.866474747658,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/scipy_3,MATCH
1_data_1000,1e-3,data_5,4,-18469.38977098465,-18469.38977098465,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/scipy_4,MATCH
1_data_1000,1e-3,data_5,5,-18514.5473331213,-18514.5473331213,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/scipy_5,MATCH
1_data_1000,1e-4,data_1,1,-19735.5499073267,-19735.5499073267,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/scipy_1,MATCH
1_data_1000,1e-4,data_1,2,-19827.22842693329,-19827.22842693329,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/scipy_2,MATCH
1_data_1000,1e-4,data_1,3,-19679.40308368206,-19679.40308368206,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/scipy_3,MATCH
1_data_1000,1e-4,data_1,4,-19755.37560403347,-19755.37560403347,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/scipy_4,MATCH
1_data_1000,1e-4,data_1,5,-19789.133969664574,-19789.133969664574,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/scipy_5,MATCH
1_data_1000,1e-4,data_2,1,-18726.830650925636,-18726.830650925636,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/scipy_1,MATCH
1_data_1000,1e-4,data_2,2,-18891.310643434525,-18891.310643434525,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/scipy_2,MATCH
1_data_1000,1e-4,data_2,3,-19104.806344032288,-19104.806344032288,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/scipy_3,MATCH
1_data_1000,1e-4,data_2,4,-18943.41111600399,-18943.41111600399,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/scipy_4,MATCH
1_data_1000,1e-4,data_2,5,-18922.171598911285,-18922.171598911285,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/scipy_5,MATCH
1_data_1000,1e-4,data_3,1,-19442.224341630936,-19442.224341630936,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/scipy_1,MATCH
