data_folder,threshold,data_id,seed,pytorch_verified_energy,jax_reported_energy,energy_difference,jax_result_file,status
1_data_1000,1e-2,data_2,4,-18458.5390625,-18458.53708446026,-0.0019780397415161133,../1_solve/solution/1_data_1000/thr_1e-2/data_2/jax_4,MATCH
1_data_1000,1e-2,data_2,5,-18700.328125,-18700.32937991619,0.0012549161911010742,../1_solve/solution/1_data_1000/thr_1e-2/data_2/jax_5,MATCH
1_data_1000,1e-2,data_3,1,-19162.94921875,-19162.950574159622,0.0013554096221923828,../1_solve/solution/1_data_1000/thr_1e-2/data_3/jax_1,MATCH
1_data_1000,1e-2,data_3,2,-19032.248046875,-19032.24878001213,0.0007331371307373047,../1_solve/solution/1_data_1000/thr_1e-2/data_3/jax_2,MATCH
1_data_1000,1e-2,data_3,3,-19100.47265625,-19100.473231077194,0.0005748271942138672,../1_solve/solution/1_data_1000/thr_1e-2/data_3/jax_3,MATCH
1_data_1000,1e-2,data_3,4,-19041.78515625,-19041.78493475914,-0.00022149085998535156,../1_solve/solution/1_data_1000/thr_1e-2/data_3/jax_4,MATCH
1_data_1000,1e-2,data_3,5,-18983.95703125,-18983.956547379494,-0.0004838705062866211,../1_solve/solution/1_data_1000/thr_1e-2/data_3/jax_5,MATCH
1_data_1000,1e-2,data_4,1,-20431.6953125,-20431.695910334587,0.000597834587097168,../1_solve/solution/1_data_1000/thr_1e-2/data_4/jax_1,MATCH
1_data_1000,1e-2,data_4,2,-20370.609375,-20370.60975074768,0.0003757476806640625,../1_solve/solution/1_data_1000/thr_1e-2/data_4/jax_2,MATCH
1_data_1000,1e-2,data_4,3,-20200.05078125,-20200.05139040947,0.0006091594696044922,../1_solve/solution/1_data_1000/thr_1e-2/data_4/jax_3,MATCH
1_data_1000,1e-2,data_4,4,-20325.65625,-20325.657883644104,0.0016336441040039062,../1_solve/solution/1_data_1000/thr_1e-2/data_4/jax_4,MATCH
1_data_1000,1e-2,data_4,5,-20249.51953125,-20249.520326972008,0.0007957220077514648,../1_solve/solution/1_data_1000/thr_1e-2/data_4/jax_5,MATCH
1_data_1000,1e-2,data_5,1,-18338.91015625,-18338.908970594406,-0.0011856555938720703,../1_solve/solution/1_data_1000/thr_1e-2/data_5/jax_1,MATCH
1_data_1000,1e-2,data_5,2,-18346.30078125,-18346.301180243492,0.00039899349212646484,../1_solve/solution/1_data_1000/thr_1e-2/data_5/jax_2,MATCH
1_data_1000,1e-2,data_5,3,-18080.7578125,-18080.757615089417,-0.00019741058349609375,../1_solve/solution/1_data_1000/thr_1e-2/data_5/jax_3,MATCH
1_data_1000,1e-2,data_5,4,-18364.5078125,-18364.50698196888,-0.000830531120300293,../1_solve/solution/1_data_1000/thr_1e-2/data_5/jax_4,MATCH
1_data_1000,1e-2,data_5,5,-18321.384765625,-18321.3839918375,-0.0007737874984741211,../1_solve/solution/1_data_1000/thr_1e-2/data_5/jax_5,MATCH
1_data_1000,1e-3,data_1,1,-19620.904296875,-19620.90367782116,-0.000619053840637207,../1_solve/solution/1_data_1000/thr_1e-3/data_1/jax_1,MATCH
1_data_1000,1e-3,data_1,2,-19385.9140625,-19385.913545012474,-0.0005174875259399414,../1_solve/solution/1_data_1000/thr_1e-3/data_1/jax_2,MATCH
1_data_1000,1e-3,data_1,3,-19638.83984375,-19638.839294195175,-0.0005495548248291016,../1_solve/solution/1_data_1000/thr_1e-3/data_1/jax_3,MATCH
1_data_1000,1e-3,data_1,4,-19532.28125,-19532.279993772507,-0.0012562274932861328,../1_solve/solution/1_data_1000/thr_1e-3/data_1/jax_4,MATCH
1_data_1000,1e-3,data_1,5,-19481.001953125,-19481.002467036247,0.000513911247253418,../1_solve/solution/1_data_1000/thr_1e-3/data_1/jax_5,MATCH
1_data_1000,1e-3,data_2,1,-18751.05859375,-18751.056872963905,-0.0017207860946655273,../1_solve/solution/1_data_1000/thr_1e-3/data_2/jax_1,MATCH
1_data_1000,1e-3,data_2,2,-18778.76171875,-18778.759868502617,-0.0018502473831176758,../1_solve/solution/1_data_1000/thr_1e-3/data_2/jax_2,MATCH
1_data_1000,1e-3,data_2,3,-18867.740234375,-18867.740178585052,-5.5789947509765625e-05,../1_solve/solution/1_data_1000/thr_1e-3/data_2/jax_3,MATCH
1_data_1000,1e-3,data_2,4,-18625.66015625,-18625.657928466797,-0.002227783203125,../1_solve/solution/1_data_1000/thr_1e-3/data_2/jax_4,MATCH
1_data_1000,1e-3,data_2,5,-18901.240234375,-18901.240118980408,-0.00011539459228515625,../1_solve/solution/1_data_1000/thr_1e-3/data_2/jax_5,MATCH
1_data_1000,1e-3,data_3,1,-19378.982421875,-19378.982174873352,-0.00024700164794921875,../1_solve/solution/1_data_1000/thr_1e-3/data_3/jax_1,MATCH
1_data_1000,1e-3,data_3,2,-19402.1953125,-19402.19499051571,-0.00032198429107666016,../1_solve/solution/1_data_1000/thr_1e-3/data_3/jax_2,MATCH
1_data_1000,1e-3,data_3,3,-19283.865234375,-19283.86629974842,0.001065373420715332,../1_solve/solution/1_data_1000/thr_1e-3/data_3/jax_3,MATCH
1_data_1000,1e-3,data_3,4,-19481.333984375,-19481.335079312325,0.0010949373245239258,../1_solve/solution/1_data_1000/thr_1e-3/data_3/jax_4,MATCH
1_data_1000,1e-3,data_3,5,-19427.73046875,-19427.7320022583,0.00153350830078125,../1_solve/solution/1_data_1000/thr_1e-3/data_3/jax_5,MATCH
1_data_1000,1e-3,data_4,1,-20598.96484375,-20598.965049028397,0.0002052783966064453,../1_solve/solution/1_data_1000/thr_1e-3/data_4/jax_1,MATCH
1_data_1000,1e-3,data_4,2,-20542.3203125,-20542.32004070282,-0.00027179718017578125,../1_solve/solution/1_data_1000/thr_1e-3/data_4/jax_2,MATCH
1_data_1000,1e-3,data_4,3,-20600.97265625,-20600.973476409912,0.000820159912109375,../1_solve/solution/1_data_1000/thr_1e-3/data_4/jax_3,MATCH
1_data_1000,1e-3,data_4,4,-20537.0078125,-20537.006605625153,-0.0012068748474121094,../1_solve/solution/1_data_1000/thr_1e-3/data_4/jax_4,MATCH
1_data_1000,1e-3,data_4,5,-20605.48046875,-20605.482442378998,0.0019736289978027344,../1_solve/solution/1_data_1000/thr_1e-3/data_4/jax_5,MATCH
1_data_1000,1e-3,data_5,1,-18603.744140625,-18603.74378156662,-0.0003590583801269531,../1_solve/solution/1_data_1000/thr_1e-3/data_5/jax_1,MATCH
1_data_1000,1e-3,data_5,2,-18626.07421875,-18626.07324719429,-0.0009715557098388672,../1_solve/solution/1_data_1000/thr_1e-3/data_5/jax_2,MATCH
