data_folder,threshold,data_id,seed,pytorch_verified_energy,pytorch_reported_energy,energy_difference,pytorch_result_file,status
1_data_1000,1e-2,data_2,5,-18850.7890625,-18850.79296875,0.00390625,../1_solve/solution/1_data_1000/thr_1e-2/data_2/pytorch_5,MATCH
1_data_1000,1e-2,data_3,1,-19434.18359375,-19434.18359375,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/pytorch_1,MATCH
1_data_1000,1e-2,data_3,2,-19358.701171875,-19358.701171875,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/pytorch_2,MATCH
1_data_1000,1e-2,data_3,3,-19494.357421875,-19494.357421875,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/pytorch_3,MATCH
1_data_1000,1e-2,data_3,4,-19435.244140625,-19435.2421875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_3/pytorch_4,MATCH
1_data_1000,1e-2,data_3,5,-19414.2578125,-19414.2578125,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_3/pytorch_5,MATCH
1_data_1000,1e-2,data_4,1,-20767.876953125,-20767.87890625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_4/pytorch_1,MATCH
1_data_1000,1e-2,data_4,2,-20742.35546875,-20742.35546875,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/pytorch_2,MATCH
1_data_1000,1e-2,data_4,3,-20600.517578125,-20600.51953125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_4/pytorch_3,MATCH
1_data_1000,1e-2,data_4,4,-20646.28125,-20646.28125,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_4/pytorch_4,MATCH
1_data_1000,1e-2,data_4,5,-20708.0078125,-20708.005859375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_4/pytorch_5,MATCH
1_data_1000,1e-2,data_5,1,-18683.572265625,-18683.572265625,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/pytorch_1,MATCH
1_data_1000,1e-2,data_5,2,-18757.859375,-18757.857421875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_5/pytorch_2,MATCH
1_data_1000,1e-2,data_5,3,-18612.5703125,-18612.5703125,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/pytorch_3,MATCH
1_data_1000,1e-2,data_5,4,-18613.05859375,-18613.05859375,0.0,../1_solve/solution/1_data_1000/thr_1e-2/data_5/pytorch_4,MATCH
1_data_1000,1e-2,data_5,5,-18855.552734375,-18855.55078125,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-2/data_5/pytorch_5,MATCH
1_data_1000,1e-3,data_1,1,-19833.7265625,-19833.728515625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_1/pytorch_1,MATCH
1_data_1000,1e-3,data_1,2,-19704.73046875,-19704.73046875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/pytorch_2,MATCH
1_data_1000,1e-3,data_1,3,-19714.71484375,-19714.716796875,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_1/pytorch_3,MATCH
1_data_1000,1e-3,data_1,4,-19889.384765625,-19889.3828125,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_1/pytorch_4,MATCH
1_data_1000,1e-3,data_1,5,-19741.6015625,-19741.6015625,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_1/pytorch_5,MATCH
1_data_1000,1e-3,data_2,1,-18969.26953125,-18969.26953125,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/pytorch_1,MATCH
1_data_1000,1e-3,data_2,2,-19054.91796875,-19054.91796875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_2/pytorch_2,MATCH
1_data_1000,1e-3,data_2,3,-18890.2109375,-18890.212890625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_2/pytorch_3,MATCH
1_data_1000,1e-3,data_2,4,-19049.83984375,-19049.841796875,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_2/pytorch_4,MATCH
1_data_1000,1e-3,data_2,5,-18966.71484375,-18966.712890625,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_2/pytorch_5,MATCH
1_data_1000,1e-3,data_3,1,-19556.55078125,-19556.55078125,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/pytorch_1,MATCH
1_data_1000,1e-3,data_3,2,-19379.95703125,-19379.955078125,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_3/pytorch_2,MATCH
1_data_1000,1e-3,data_3,3,-19555.783203125,-19555.78515625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_3/pytorch_3,MATCH
1_data_1000,1e-3,data_3,4,-19482.09375,-19482.09375,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/pytorch_4,MATCH
1_data_1000,1e-3,data_3,5,-19531.21484375,-19531.21484375,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_3/pytorch_5,MATCH
1_data_1000,1e-3,data_4,1,-20817.09765625,-20817.099609375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_4/pytorch_1,MATCH
1_data_1000,1e-3,data_4,2,-20776.685546875,-20776.685546875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/pytorch_2,MATCH
1_data_1000,1e-3,data_4,3,-20632.359375,-20632.361328125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_4/pytorch_3,MATCH
1_data_1000,1e-3,data_4,4,-20713.22265625,-20713.22265625,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_4/pytorch_4,MATCH
1_data_1000,1e-3,data_4,5,-20742.36328125,-20742.365234375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_4/pytorch_5,MATCH
1_data_1000,1e-3,data_5,1,-18868.8671875,-18868.8671875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/pytorch_1,MATCH
1_data_1000,1e-3,data_5,2,-18808.30859375,-18808.306640625,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_5/pytorch_2,MATCH
1_data_1000,1e-3,data_5,3,-18674.6015625,-18674.6015625,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/pytorch_3,MATCH
1_data_1000,1e-3,data_5,4,-18759.169921875,-18759.169921875,0.0,../1_solve/solution/1_data_1000/thr_1e-3/data_5/pytorch_4,MATCH
1_data_1000,1e-3,data_5,5,-18902.8984375,-18902.896484375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-3/data_5/pytorch_5,MATCH
1_data_1000,1e-4,data_1,1,-19841.25390625,-19841.25390625,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/pytorch_1,MATCH
1_data_1000,1e-4,data_1,2,-19761.421875,-19761.421875,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/pytorch_2,MATCH
1_data_1000,1e-4,data_1,3,-19715.529296875,-19715.53125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_1/pytorch_3,MATCH
1_data_1000,1e-4,data_1,4,-19912.75390625,-19912.75390625,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/pytorch_4,MATCH
1_data_1000,1e-4,data_1,5,-19857.40625,-19857.40625,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_1/pytorch_5,MATCH
1_data_1000,1e-4,data_2,1,-18968.7578125,-18968.7578125,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/pytorch_1,MATCH
1_data_1000,1e-4,data_2,2,-19054.91796875,-19054.91796875,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/pytorch_2,MATCH
1_data_1000,1e-4,data_2,3,-18892.57421875,-18892.572265625,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_2/pytorch_3,MATCH
1_data_1000,1e-4,data_2,4,-19093.3828125,-19093.3828125,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/pytorch_4,MATCH
1_data_1000,1e-4,data_2,5,-18994.88671875,-18994.88671875,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_2/pytorch_5,MATCH
1_data_1000,1e-4,data_3,1,-19650.4140625,-19650.416015625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_3/pytorch_1,MATCH
1_data_1000,1e-4,data_3,2,-19471.611328125,-19471.609375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_3/pytorch_2,MATCH
1_data_1000,1e-4,data_3,3,-19558.57421875,-19558.576171875,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_3/pytorch_3,MATCH
1_data_1000,1e-4,data_3,4,-19618.28515625,-19618.287109375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_3/pytorch_4,MATCH
1_data_1000,1e-4,data_3,5,-19534.609375,-19534.609375,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_3/pytorch_5,MATCH
1_data_1000,1e-4,data_4,1,-20820.638671875,-20820.638671875,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/pytorch_1,MATCH
1_data_1000,1e-4,data_4,2,-20815.84375,-20815.841796875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_4/pytorch_2,MATCH
1_data_1000,1e-4,data_4,3,-20639.232421875,-20639.23046875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_4/pytorch_3,MATCH
1_data_1000,1e-4,data_4,4,-20723.72265625,-20723.72265625,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/pytorch_4,MATCH
1_data_1000,1e-4,data_4,5,-20765.849609375,-20765.849609375,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_4/pytorch_5,MATCH
1_data_1000,1e-4,data_5,1,-18901.205078125,-18901.20703125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_5/pytorch_1,MATCH
1_data_1000,1e-4,data_5,2,-18922.5078125,-18922.51171875,0.00390625,../1_solve/solution/1_data_1000/thr_1e-4/data_5/pytorch_2,MATCH
1_data_1000,1e-4,data_5,3,-18675.712890625,-18675.71484375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_5/pytorch_3,MATCH
1_data_1000,1e-4,data_5,4,-18765.189453125,-18765.19140625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-4/data_5/pytorch_4,MATCH
1_data_1000,1e-4,data_5,5,-18926.0625,-18926.0625,0.0,../1_solve/solution/1_data_1000/thr_1e-4/data_5/pytorch_5,MATCH
1_data_1000,1e-5,data_1,1,-19841.25390625,-19841.25390625,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/pytorch_1,MATCH
1_data_1000,1e-5,data_1,2,-19802.421875,-19802.419921875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_1/pytorch_2,MATCH
1_data_1000,1e-5,data_1,3,-19720.296875,-19720.296875,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/pytorch_3,MATCH
1_data_1000,1e-5,data_1,4,-19912.75390625,-19912.75390625,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/pytorch_4,MATCH
1_data_1000,1e-5,data_1,5,-19925.79296875,-19925.79296875,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_1/pytorch_5,MATCH
1_data_1000,1e-5,data_2,1,-18968.7578125,-18968.7578125,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/pytorch_1,MATCH
1_data_1000,1e-5,data_2,2,-19054.91796875,-19054.91796875,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/pytorch_2,MATCH
1_data_1000,1e-5,data_2,3,-19048.9453125,-19048.9453125,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_2/pytorch_3,MATCH
1_data_1000,1e-5,data_2,4,-19092.818359375,-19092.8203125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_2/pytorch_4,MATCH
1_data_1000,1e-5,data_2,5,-19013.1875,-19013.185546875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_2/pytorch_5,MATCH
1_data_1000,1e-5,data_3,1,-19656.677734375,-19656.67578125,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_3/pytorch_1,MATCH
1_data_1000,1e-5,data_3,2,-19471.611328125,-19471.609375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_3/pytorch_2,MATCH
1_data_1000,1e-5,data_3,3,-19564.1484375,-19564.1484375,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/pytorch_3,MATCH
1_data_1000,1e-5,data_3,4,-19618.28515625,-19618.287109375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_3/pytorch_4,MATCH
1_data_1000,1e-5,data_3,5,-19606.578125,-19606.578125,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_3/pytorch_5,MATCH
1_data_1000,1e-5,data_4,1,-20820.638671875,-20820.638671875,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/pytorch_1,MATCH
1_data_1000,1e-5,data_4,2,-20815.84375,-20815.841796875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_4/pytorch_2,MATCH
1_data_1000,1e-5,data_4,3,-20639.232421875,-20639.23046875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_4/pytorch_3,MATCH
1_data_1000,1e-5,data_4,4,-20723.72265625,-20723.72265625,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/pytorch_4,MATCH
1_data_1000,1e-5,data_4,5,-20765.849609375,-20765.849609375,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_4/pytorch_5,MATCH
1_data_1000,1e-5,data_5,1,-18901.205078125,-18901.20703125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_5/pytorch_1,MATCH
1_data_1000,1e-5,data_5,2,-18922.5078125,-18922.51171875,0.00390625,../1_solve/solution/1_data_1000/thr_1e-5/data_5/pytorch_2,MATCH
1_data_1000,1e-5,data_5,3,-18738.98828125,-18738.990234375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_5/pytorch_3,MATCH
1_data_1000,1e-5,data_5,4,-18765.189453125,-18765.19140625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-5/data_5/pytorch_4,MATCH
1_data_1000,1e-5,data_5,5,-18926.0625,-18926.0625,0.0,../1_solve/solution/1_data_1000/thr_1e-5/data_5/pytorch_5,MATCH
1_data_1000,1e-6,data_1,1,-19841.25390625,-19841.25390625,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/pytorch_1,MATCH
1_data_1000,1e-6,data_1,2,-19802.421875,-19802.419921875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_1/pytorch_2,MATCH
1_data_1000,1e-6,data_1,3,-19720.296875,-19720.296875,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/pytorch_3,MATCH
1_data_1000,1e-6,data_1,4,-19912.75390625,-19912.75390625,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/pytorch_4,MATCH
1_data_1000,1e-6,data_1,5,-19925.79296875,-19925.79296875,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_1/pytorch_5,MATCH
1_data_1000,1e-6,data_2,1,-19081.716796875,-19081.71875,0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_2/pytorch_1,MATCH
1_data_1000,1e-6,data_2,2,-19054.91796875,-19054.91796875,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/pytorch_2,MATCH
1_data_1000,1e-6,data_2,3,-19048.9453125,-19048.9453125,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/pytorch_3,MATCH
1_data_1000,1e-6,data_2,4,-19109.09765625,-19109.09765625,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_2/pytorch_4,MATCH
1_data_1000,1e-6,data_2,5,-19013.1875,-19013.185546875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_2/pytorch_5,MATCH
1_data_1000,1e-6,data_3,1,-19669.873046875,-19669.873046875,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/pytorch_1,MATCH
1_data_1000,1e-6,data_3,2,-19471.611328125,-19471.609375,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_3/pytorch_2,MATCH
1_data_1000,1e-6,data_3,3,-19564.1484375,-19564.1484375,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/pytorch_3,MATCH
1_data_1000,1e-6,data_3,4,-19618.28515625,-19618.287109375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_3/pytorch_4,MATCH
1_data_1000,1e-6,data_3,5,-19606.578125,-19606.578125,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_3/pytorch_5,MATCH
1_data_1000,1e-6,data_4,1,-20820.638671875,-20820.638671875,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/pytorch_1,MATCH
1_data_1000,1e-6,data_4,2,-20815.84375,-20815.841796875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_4/pytorch_2,MATCH
1_data_1000,1e-6,data_4,3,-20639.232421875,-20639.23046875,-0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_4/pytorch_3,MATCH
1_data_1000,1e-6,data_4,4,-20723.72265625,-20723.72265625,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/pytorch_4,MATCH
1_data_1000,1e-6,data_4,5,-20765.849609375,-20765.849609375,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_4/pytorch_5,MATCH
1_data_1000,1e-6,data_5,1,-18901.205078125,-18901.20703125,0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_5/pytorch_1,MATCH
1_data_1000,1e-6,data_5,2,-18922.5078125,-18922.51171875,0.00390625,../1_solve/solution/1_data_1000/thr_1e-6/data_5/pytorch_2,MATCH
1_data_1000,1e-6,data_5,3,-18738.98828125,-18738.990234375,0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_5/pytorch_3,MATCH
1_data_1000,1e-6,data_5,4,-18765.189453125,-18765.19140625,0.001953125,../1_solve/solution/1_data_1000/thr_1e-6/data_5/pytorch_4,MATCH
1_data_1000,1e-6,data_5,5,-18926.0625,-18926.0625,0.0,../1_solve/solution/1_data_1000/thr_1e-6/data_5/pytorch_5,MATCH
